job_id,job_title,industry,location,salary_usd,skills_required,remote_option,company_size,posting_date,month,month_name
1,Quantum Researcher,Quantum Computing,Singapore,175780,Linear Algebra; Quantum Algorithms,No,Large,22-07-2025,7,July
2,Renewable Energy Engineer,Green Tech,Singapore,137481,Climate Data Analysis; Energy Modeling,Yes,Large,26-09-2025,9,September
3,Quantum Researcher,Quantum Computing,Tokyo,182081,Linear Algebra; Qiskit,No,Medium,31-12-2025,12,December
4,Sustainability Analyst,Green Tech,Singapore,113822,Climate Data Analysis; Energy Modeling,No,Large,29-05-2025,5,May
5,Smart Contract Engineer,Blockchain,London,92575,Rust; Solidity,Yes,Small,30-03-2025,3,March
6,Smart Contract Engineer,Blockchain,Tokyo,173379,Solidity; Rust,Yes,Medium,10-08-2025,8,August
7,Renewable Energy Engineer,Green Tech,New York,99659,Climate Data Analysis; Energy Modeling,No,Small,27-05-2025,5,May
8,Quantum Software Developer,Quantum Computing,London,210842,Qiskit; Quantum Algorithms,Yes,Large,13-04-2025,4,April
9,Sustainability Analyst,Green Tech,Unknown,189475,Climate Data Analysis; Energy Modeling,No,Small,12-04-2025,4,April
10,Blockchain Developer,Blockchain,Tokyo,228992,Ethereum; Solidity,No,Large,28-06-2025,6,June
11,Quantum Researcher,Quantum Computing,New York,122847,Quantum Algorithms; Qiskit,Yes,Small,09-02-2025,2,February
12,AI Engineer,Ai,Singapore,136880,TensorFlow; PyTorch,Yes,Small,15-03-2025,3,March
13,Data Scientist,Ai,Singapore,50387,Python; TensorFlow,Yes,Medium,02-03-2025,3,March
14,Quantum Researcher,Quantum Computing,Unknown,194786,Linear Algebra; Qiskit,No,Large,02-05-2025,5,May
15,Smart Contract Engineer,Blockchain,Berlin,54857,Rust; Ethereum,Yes,Large,06-12-2025,12,December
16,Blockchain Developer,Blockchain,Tokyo,189314,Solidity; Ethereum,No,Medium,23-07-2025,7,July
17,Renewable Energy Engineer,Green Tech,London,214393,Climate Data Analysis; Energy Modeling,Yes,Small,11-04-2025,4,April
18,Data Scientist,Ai,Singapore,190743,TensorFlow; Python,Yes,Small,07-10-2025,10,October
19,Quantum Software Developer,Quantum Computing,Dubai,127617,Qiskit; Quantum Algorithms,Yes,Large,23-02-2025,2,February
20,Data Scientist,Ai,Berlin,121525,Python; TensorFlow,Yes,Large,15-12-2025,12,December
21,Smart Contract Engineer,Blockchain,Tokyo,180309,Solidity; Ethereum,Yes,Small,23-11-2025,11,November
22,Quantum Researcher,Quantum Computing,New York,179393,Quantum Algorithms; Linear Algebra,No,Small,15-06-2025,6,June
23,Quantum Software Developer,Quantum Computing,Berlin,169818,Qiskit; Linear Algebra,Yes,Large,16-07-2025,7,July
24,Sustainability Analyst,Green Tech,New York,183315,Climate Data Analysis; Energy Modeling,No,Large,24-01-2025,1,January
25,Quantum Researcher,Quantum Computing,Tokyo,130298,Qiskit; Quantum Algorithms,No,Large,13-10-2025,10,October
26,Blockchain Developer,Blockchain,New York,147535,Rust; Ethereum,Yes,Large,19-07-2025,7,July
27,Quantum Software Developer,Quantum Computing,Berlin,143783,Linear Algebra; Qiskit,No,Small,10-02-2025,2,February
